,word,arabic,hungarian,indonesian,vietnamese,turkish,ico_vietnamese,ico_hungarian,ico_indonesian,ico_arabic,ico_turkish,ico_english,ico_rating_2022,ico_rating_2017,
5934,sue,مقاضاة,perelni,menuntut,kiện,dava,0.553876993208563,0.537665420074188,0.520317572305296,0.542433026112091,0.54815485345237,0.545710985071262,2.2,,
5937,shrine,الضريح,szentély,kuil,thờ,tapınak,0.420285459254469,0.454312275499446,0.448090971758638,0.45759074184173,0.455982392616154,0.454860961337231,3.8,,
5938,pet,أليف,háziállat,peliharaan,thú,evcil,0.618368738849384,0.567038025735455,0.562646332303759,0.598590548773622,0.583506419797945,0.598602452361675,3.1,,
5943,resolve,عزيمتي,békésen,menyelesaikan,giải_quyết,çözmenin,0.577728688626498,0.582124451731031,0.593398413957554,0.558632882668703,0.575785751602262,0.560744337330925,3.18181818181818,,
5944,terrorism,الإرهاب,terrorizmus,terorisme,khủng_bố,terörizm,0.496078504998302,0.526369084527142,0.523415154666407,0.529088068868032,0.520645407007631,0.515227753915959,4.27272727272727,,
5946,spider,العنكبوت,pók,laba-laba,nhện,örümcek,0.522454133529207,0.527547278037828,0.508261267291639,0.499448370521226,0.510978515826683,0.509729804382967,3,-0.545454545,
5949,memorable,تنسى,emlékezetes,berkesan,đáng,unutulmaz,0.53391992364048,0.532873802727332,0.542499343917006,0.526679884521801,0.53853856178407,0.544995593472437,,,
5950,blamed,اللوم,hibáztatta,menyalahkan,đổ,suçladı,0.511728453257507,0.610066896247034,0.608493091453997,0.577858967931704,0.587753130988738,0.589607234043731,3.3,,
5953,congressman,عضو,képviselő,anggota,nghị_sĩ,kongre,0.395939916404026,0.377179962608514,0.387987477379162,0.39169574126332,0.3844467517836,0.37700421600601,,,
5964,phases,مراحل,fázis,fase,giai_đoạn,dönemlerden,0.476502552184763,0.467714780409862,0.448269416479355,0.460792440702818,0.488844245041703,0.471159055808196,,,
5971,faction,فصيل,klikk,faksi,môn_phái,radikal,0.477333816369878,0.472587178484916,0.473292699850518,0.457178584133247,0.48150774893248,0.476660359291275,2.9,,
5986,protective,الوقائي,védelmező,pelindung,bảo_vệ,koruyucu,0.593545021786018,0.605332205547221,0.605797212295889,0.604225794204209,0.603099107331045,0.605458183860096,,,
5989,recommendation,توصية,ajánlást,rekomendasi,giới_thiệu,Tavsiye,0.517329662177853,0.542187965064986,0.547998746974935,0.492817375074309,0.532639425484987,0.549122501161358,2.81818181818182,,
5993,accepts,يقبل,elfogadja,menerima,chấp_nhận,kabulleniyor,0.550257417904987,0.576463457967171,0.570417708881931,0.523212203259738,0.565205316829863,0.573832652859085,,,
5997,cuban,كوبي,kubai,kuba,Cuba,kübalı,0.414489004747195,0.415874098363763,0.412004857535649,0.415991785415784,0.414065587093506,0.407537693262226,,,
6010,pressed,مضغوط,préselt,ditekan,ép,ütülü,0.634084353713418,0.622362281800352,0.616723939471144,0.638491609457318,0.610182014955816,0.648253630503837,,,
6015,promotes,يعزز,elősegíti,mempromosikan,thúc_đẩy,teşvik,0.509190238920403,0.549359986791505,0.547428316789716,0.484302258536142,0.525574541914843,0.525115057962352,,,
6016,gravity,الجاذبية,gravitáció,gravitasi,trọng_lực,yerçekimi,0.549129868323877,0.538785753937903,0.543291187633449,0.545197907725061,0.546335022244201,0.545742776000409,3.90909090909091,,
6022,underneath,تحتها,alatta,bawahnya,dưới,Altında,0.641518627554926,0.633133322771609,0.620384540010229,0.653505186141628,0.620526609079722,0.61849440781229,,,
6023,financed,بتمويل,pénzelte,dibiayai,tài_trợ,finanse,0.439668976701684,0.464205037323589,0.457320068964753,0.431097213237876,0.460054904283121,0.473377365014543,,,
6030,occupies,تحتل,foglal,menempati,chiều,kaplıyor,0.417576213764394,0.429308376437962,0.423789247935166,0.425123160637483,0.427801077848272,0.432487352222216,,,
6039,hate,أكره,Utálom,benci,ghét,Nefret,0.568834859999902,0.565859280017697,0.572745745080774,0.558645266700955,0.558990222740774,0.559865888642116,,1.4375,
6046,finger,إصبعي,ujjam,jari,ngón,Parmağını,0.556729425602943,0.541583754133877,0.55168376612919,0.54553890075339,0.523371222249549,0.536673349184167,3.1,0.181818182,
6054,muscle,العضلات,izom,otot,cơ_bắp,kas,0.525074342943745,0.517641855304926,0.522286157692496,0.514969388276992,0.521721887223229,0.51915615838288,3.81818181818182,-0.153846154,
6060,delegates,المندوبين,küldöttek,delegasi,đại_biểu,delegeler,0.420963717805691,0.428925759166812,0.440703632581249,0.443382420982503,0.439016179479966,0.437772020009215,,,
6064,sitcom,الهزلية,vígjáték,sitkom,sinh_vật_học,komedi,0.418866826847973,0.41110377804739,0.43582156937569,0.436176985135506,0.441726869278192,0.430301101780722,,,
6066,heath,هيث,Heath,kesehatan,hoang,Heath,0.494942897955659,0.461245617327976,0.434873637005047,0.491903404290125,0.456332497740014,0.475219131445537,1.9,,
6071,fi,فاي,Semper,Semper,mo,Semper,0.474168425814264,0.442768234012841,0.440498476656074,0.470122681245631,0.444089099648985,0.459585797140244,,,
6072,steal,أسرق,lopni,mencuri,trộm,çalmadım,0.583277397527556,0.594811234111319,0.583734442913835,0.590249551976294,0.588024510905224,0.589353736252754,,0,
6075,primitive,بدائية,primitív,primitif,nguyên_thủy,ilkel,0.550939596322152,0.546929398645237,0.554716848117759,0.535535173057296,0.546772232949805,0.550566001198856,2.7,,
6078,115,بعنوان,Pulzus,155,115b,184,0.436809375609082,0.416760764446142,0.420969825504179,0.412861708931965,0.416696889981544,0.410420932504514,,,
6081,commercials,الإعلانات,reklámokat,iklan,quảng_cáo,reklamları,0.5306297206136,0.507630143691863,0.520400256849291,0.49864430849006,0.509997092323781,0.513332262624238,,,
6088,airports,المطارات,reptereket,bandara,sân_bay,havaalanları,0.384932064892188,0.395337854213465,0.387656633995449,0.391845395171342,0.395011054537542,0.384455527694267,,,
6095,dealer,تاجر,osztó,pedagang,chia,satıcısı,0.498264479016215,0.516064029805155,0.506282699715404,0.518984717931841,0.512517749159764,0.516578021081207,3.72727272727273,,
6100,migrated,هاجرت,vándoroltak,bermigrasi,di_cư,göç,0.383841262819513,0.418181517902498,0.413263624560194,0.401102162399436,0.402781375168835,0.420439667524393,,,
6102,overlooking,تطل,néző,menghadap,bỏ_qua,bakan,0.476168401830386,0.47503233413323,0.463660375390683,0.478881470219732,0.48160246747567,0.47264020062001,,,
6109,wounds,الجروح,sebek,luka,vết_thương,yaraları,0.559880881433015,0.562922326296504,0.555688797577611,0.570924086047938,0.555979713641546,0.557459334846279,,,
6118,comeback,عودة,visszatérés,kembalinya,trở_lại,dönüş,0.508214295313657,0.493742953611943,0.498317406534866,0.512692044747086,0.511125456347474,0.508185570181108,,,
6124,tobacco,التبغ,dohány,tembakau,thuốc_lá,tütün,0.522040392026923,0.522039914119271,0.517492246249041,0.524376727915414,0.52273438262471,0.51676790144958,3.5,-0.2,
6125,rainbow,قوس,szivárvány,pelangi,cầu_vồng,gökkuşağı,0.560169172751331,0.507208367050218,0.537748215330684,0.578414925183539,0.525538610684837,0.540496053990195,4.72727272727273,1,
6130,thunder,الرعد,mennydörgés,guntur,sấm,gürültüsü,0.535213772809801,0.495364430932444,0.528627527680914,0.527690859430217,0.51421375904932,0.528650637652986,4.8,2.866666667,
6136,alma,ألما,Alma,almamater,ver,mezun,0.435776091821004,0.424416782710263,0.405278645631913,0.424057127175121,0.419546429105664,0.428331686117836,,,
6142,feast,وليمة,lakoma,pesta,tiệc,ziyafet,0.474545816180798,0.49146208113116,0.496203403960929,0.482974722408566,0.490551516342704,0.491831222859584,3.7,0.5,
6143,deadly,مميت,halálos,mematikan,chết_chóc,ölümcül,0.603666542796691,0.611232170922691,0.601184588540332,0.607477446506314,0.609276178847274,0.605325952436059,4.5,,
6144,telecommunications,الإتصالات,távközlési,telekomunikasi,viễn_thông,haberleşme,0.413329674543247,0.420416436395857,0.421975265055672,0.419492688596865,0.414701354405519,0.407672220764987,,,
6145,naples,نابولي,nápoly,Naples,Naples,napoli,0.421470623702886,0.421164893213139,0.423566558101242,0.423374961997604,0.423439403468108,0.425249459356486,,,
6150,pavilion,الجناح,pavilon,ternak,đình,köşke,0.470291125842388,0.465826162524013,0.458378497727045,0.465994249895624,0.461107747302872,0.456789248413655,2.3,,
6159,spirits,الأرواح,szellemek,roh,linh_hồn,ruhlar,0.587029274143889,0.573334258551503,0.574551315642251,0.582972436552176,0.585949313750291,0.571105578612226,,,
6164,nationality,جنسيتك,nemzetiségű,kebangsaan,quốc_tịch,milliyetin,0.427464793561586,0.464408575739022,0.453229879426108,0.42176046791521,0.450296405520809,0.454190419259069,,,
6168,5000,روبية,ötezer,5,5,5000$,0.353179306723808,0.390879891080774,0.351760633264742,0.392683672243605,0.343282031078692,0.346215576949045,,,
6175,sunk,غرقت,elsüllyedt,tenggelam,chìm,battı,0.439352711992603,0.442374834260069,0.437555718502102,0.455494637151978,0.445297335728545,0.448259704664352,5.3,,
6182,agenda,جدول,napirend,Agenda,nghị_sự,gündemi,0.528696666121772,0.556031178431449,0.546668370631485,0.486870515438556,0.551632306380037,0.545583746193329,2.5,,
6183,leather,الجلد,bőr,kulit,da,deri,0.539922263634081,0.582848025687624,0.574998479525002,0.581622523110181,0.565899361590311,0.576396853913119,2.5,1.266666667,
6194,suspect,المشتبه,gyanúsított,tersangka,nghi,şüphelimiz,0.551146552985766,0.59868728313349,0.59586780100277,0.595854441333403,0.587543137647425,0.590199552832767,2.9,,
6208,successes,النجاحات,sikerei,keberhasilan,thành_công,başarıları,0.492969866743645,0.516872882280622,0.532211512258572,0.519846809447969,0.518956173033111,0.521296198119882,,,
6209,shells,قذائف,kagylókat,kerang,vỏ,kabukları,0.477742573726541,0.500357434775507,0.500945215684363,0.515120239665827,0.501583510083125,0.516000371243288,,,
6210,24th,24,24,24,24,24,0.311645974924795,0.321113543136376,0.317236125701168,0.64963058434984,0.31154780037094,0.383558500244945,,,
6211,ultra,فائقة,betartanak,mega,tuyệt_phẩm,Ultra,0.507295773993767,0.504538889800005,0.506239838822706,0.505644053325136,0.509941448273799,0.510005764958275,3.5,,
6215,marathon,ماراثون,maraton,maraton,thi,Maratonu,0.454693970017544,0.416229103028637,0.407123922212579,0.409135124485201,0.412080923816507,0.410120866237852,,,
6217,desperate,يائسة,kétségbeesett,asa,tuyệt_vọng,çaresiz,0.633473247558943,0.61597661127352,0.631544781236862,0.630537058664229,0.627525909110839,0.626581527494762,3.5,,
6227,banker,مصرفي,bankár,bankir,ngân_hàng,bankacı,0.410496516502062,0.413924650588281,0.411226847367629,0.41582193963384,0.411153461613493,0.413523324610188,4.4,,
6228,compromise,المساومة,kompromisszumot,kompromi,thỏa_hiệp,uzlaşma,0.563651516400123,0.589493153286373,0.585095007823538,0.590847350720942,0.580123821095548,0.588230185032111,2.7,,
6233,stems,ينبع,ered,batang,thân,sapları,0.514594709620746,0.517361793969084,0.509181372265094,0.529301908265093,0.509251909956516,0.505721739397317,,,
6249,insight,البصيرة,betekintést,wawasan,sâu_sắc,içyüzünü,0.547355261443998,0.570661056537143,0.552116606934028,0.542688623753137,0.562676034158032,0.55297939804779,,,
6250,neighborhoods,الأحياء,lakta,lingkungan,khu_phố,mahallelerde,0.418945891537603,0.42631350128151,0.43561531531739,0.425569576612065,0.43534134892763,0.426029363829048,,,
6254,fathers,الآباء,apák,ayah,cha,babalar,0.490140701142228,0.508447211825208,0.510872137368952,0.526847260823838,0.530019770233004,0.51625007083905,,,
6258,beings,كائنات,lényeknek,Makhluk,sinh_vật,varlıklar,0.577160145339578,0.577461272982993,0.575573034922314,0.575491150523844,0.583936204644964,0.571343019823292,,,
6263,advent,ظهور,megjelenésével,munculnya,ra_đời,gelişiyle,0.53001490722794,0.556023092812852,0.542800775830839,0.507845905571896,0.543422933231415,0.545976960705967,2.83333333333333,,
6267,loud,بصوت,hangos,keras,to,gürültülü,0.651667468445341,0.636250916320512,0.632745650538413,0.642633979698794,0.615873376939955,0.647306936994267,5.7,1.2,
6273,hire,استئجار,felbérelni,menyewa,thuê,kiralamak,0.538089202945995,0.568710584051027,0.570507475300883,0.57036482497906,0.562961751837407,0.553687856452492,3.5,,
6274,nervous,متوترة,ideges,gugup,lo_lắng,Gergin,0.486725240679825,0.477968523905245,0.478690147929317,0.487422803585921,0.47987171117936,0.480377510273162,4.1,,
6282,sworn,أقسمت,Megesküdtem,bersumpah,thề,yeminli,0.421720720292553,0.455380400493222,0.449480855686567,0.446991174104241,0.44952634680329,0.446076513859975,3,,
6284,tended,تميل,gondozta,cenderung,chăm_sóc,ilgilendim,0.581744476682988,0.603576252900762,0.603361008388814,0.561756881933422,0.611189723304396,0.605156549334589,,,
6285,warehouse,المستودع,raktárban,gudang,nhà_kho,depoda,0.540924558300465,0.498971376109587,0.528719707522656,0.509551250815616,0.518083565491683,0.515460259254877,4.8,,
6288,inventory,الجرد,leltárt,persediaan,kiểm_kê,envanter,0.480095719839939,0.496977389947749,0.508566364420624,0.477466208666428,0.493086307686785,0.502370133890431,2.9,,
6291,virtue,فضيلة,erény,kebajikan,đức_hạnh,erdem,0.551155840183439,0.53941969645702,0.570427603282569,0.505647627435348,0.546577859443569,0.516187096050799,3.6,,
6297,bomber,المفجر,robbantó,pengebom,bom,bombacı,0.434659057481818,0.432440125435412,0.436228473919354,0.432012718338249,0.437837273405567,0.438923586115858,4.27272727272727,,
6303,practicing,أتدرب,gyakoroltam,berlatih,luyện_tập,pratik,0.53182042319596,0.533386237458232,0.532061837809257,0.514072165848081,0.527235163432726,0.532466425409988,,,
6306,switching,تبديل,cserélünk,beralih,đổi,değiştiriyoruz,0.556984058572848,0.577058330837183,0.575025465479117,0.566008888204965,0.571446074883214,0.575987466242805,,,
6307,nobody,نكرة,Senkinek,siapa-siapa,ai,hiçkimse,0.666553283029018,0.597497213052692,0.593584404972278,0.636321667848649,0.594865093298138,0.616216979450781,,,
6308,unrelated,مرتبط,kapcsolódó,berhubungan,liên_quan,alakasız,0.598370733261344,0.599474404859881,0.602132752094816,0.578178000405565,0.602632106675562,0.604369960713186,,,
6309,orbit,المدار,pályára,Orbit,quỹ_đạo,yörüngeye,0.492375549858335,0.481502214235474,0.47783844662122,0.488263282756248,0.488412529660997,0.485147536650238,5.1,,
6315,acute,حاد,akut,akut,cấp_tính,akut,0.491767424751617,0.495212506618708,0.488901406739636,0.484111220029217,0.495563126521235,0.494844776485541,3.8,,
6317,breast,الثدي,mell,payudara,ngực,göğüs,0.505293633036882,0.513550593290332,0.503128358095508,0.509546295964645,0.511798843656413,0.504113810424601,4.2,0.333333333,
6319,escort,مرافقة,kíséret,mengawal,hộ_tống,eşlik,0.493016734205427,0.501378158896033,0.500689636415238,0.495629057794896,0.50015960200258,0.501304127511555,3,,
6320,shapes,الأشكال,formákat,bentuk,hình_dáng,şekiller,0.61843949777743,0.620941766116954,0.620619326592475,0.616862635532435,0.624524170461113,0.618216622633626,,,
6334,reluctant,مترددة,vonakodott,enggan,miễn_cưỡng,isteksiz,0.595060208541745,0.602036506856109,0.595008887870875,0.568225573609141,0.590154535351763,0.60207072331368,2.81818181818182,,
6342,afford,نفقة,engedhet,mampu,chi_trả,karşılayamam,0.551262616355409,0.58939686229128,0.569137287627724,0.540089243268362,0.5834587230714,0.572276054546083,2.90909090909091,-0.066666667,
6343,icon,رمز,ikont,ikon,biểu_tượng,ikonu,0.469927038207866,0.475019862512983,0.479753877452841,0.480927532762679,0.47896160765714,0.476558463801278,5.2,,
6349,matrix,مصفوفة,mátrix,matriks,ma_trận,kalıbı,0.472851557833874,0.467411008642617,0.465321616167594,0.479086090862477,0.468116105160526,0.460236314242487,3.9,,
6352,individually,فردي,egyenként,individual,độc_lập,bireysel,0.537649367126133,0.530496385578923,0.545171122263207,0.53523651973934,0.543851481460391,0.542293294211652,,,
6354,penguin,البطريق,pingvin,pinguin,cánh_cụt,penguen,0.468611414439543,0.469501616361634,0.475815481787242,0.466657279589578,0.466003891823251,0.472434524665876,2.2,-1.583333333,
6355,fold,أضعاف,Bedobom,lipat,gấp,Pas,0.543296779681042,0.542456568455345,0.543697362939727,0.548404985112536,0.555113355854684,0.544060946161354,4,0.636363636,
6356,juvenile,الأحداث,fiatalkorú,remaja,thành_niên,çocukça,0.486882406752828,0.484066218068649,0.492876984736436,0.485459000273357,0.489996394936345,0.488797420669827,,,
6357,identifies,يتعرف,azonosítja,mengidentifikasi,nhận_diện,tanımlıyor,0.542555516488457,0.558874423649663,0.555539334265955,0.529965630772143,0.545969296606241,0.559344716591682,,,
6363,135,132,128,IQ,57,Ca,0.401329845173755,0.386914619355714,0.426972589823642,0.820531960085703,0.452294286547861,0.378093902911464,,,
6365,genius,عبقري,zseni,jenius,thiên_tài,dahisin,0.60027384916322,0.600784683383767,0.600446330515422,0.59712021653632,0.593776830848648,0.596619508563685,4,,
6369,moist,رطبة,nedves,lembab,ẩm,nemli,0.504988432070867,0.521057812435206,0.524006958432756,0.529843921122912,0.525141798771686,0.525377469089219,4.36363636363636,1.916666667,
6370,clash,إشتباك,összecsapás,bentrokan,đụng_độ,Clash,0.570525864767294,0.566749392779544,0.566069021647949,0.577442605777628,0.585187263206436,0.571701235868635,,2.666666667,
6371,boost,دفعة,bakot,meningkatkan,thúc_đẩy,artırmak,0.525762466769015,0.520803814459408,0.546362053709431,0.509614869611915,0.535693846459294,0.512388696610703,5.4,,
6373,demise,زوال,bukása,kematiannya,qua_đời,zamansız,0.541606315510772,0.555988223849283,0.56332216319233,0.536374186120041,0.557314136295173,0.559287355091533,3.36363636363636,,
6387,productive,مثمرة,eredményes,produktif,hiệu_quả,üretken,0.505591509145221,0.512156142374604,0.516892884796939,0.463138723295006,0.510535039780137,0.515808460167749,2.9,,
6392,tide,المد,dagály,pasang,thủy_triều,Gelgit,0.526839279191648,0.516210768121834,0.526776515295953,0.532778801608644,0.510243255016827,0.520024187709013,3,,
6399,fountain,نافورة,szökőkút,mancur,nguồn,çeşme,0.528009135115851,0.503856991938847,0.522239486555361,0.528126069356543,0.521715566992897,0.508475182696987,3.4,,
6401,chemist,الكيميائي,vegyész,kimia,nhà_hóa,kimyager,0.387725350256831,0.387729164909498,0.393227273254252,0.384373368491673,0.389994333683487,0.389339743032971,,,
6416,professors,الأساتذة,professzorok,profesor,giáo_sư,profesörler,0.42334804540289,0.441108364499562,0.433190966839,0.450294065379089,0.441113697865375,0.438339059401316,,,
6417,recruit,تجنيد,újonc,merekrut,tuyển,acemi,0.494426592750549,0.497770224137965,0.514037159127554,0.480271405691703,0.504015610928967,0.499314950359078,3.3,,
6418,expressing,بالتعبير,kifejezi,mengekspresikan,bày_tỏ,etmede,0.544690813664085,0.603122921618732,0.60557473183808,0.576305128307037,0.581158867667143,0.602707176064293,,,
6424,explosive,متفجرة,robbanószer,peledak,chất_nổ,patlayıcı,0.53724351247244,0.531673032088736,0.536688804490319,0.548868626764234,0.534957846472284,0.519516610961721,,,
6425,chances,فرص,esélyei,peluang,cơ_hội,Şansımı,0.565607738962879,0.593949342549991,0.585972978213767,0.560570864825237,0.586085280226198,0.586690732460706,,,
6426,wireless,اللاسلكي,vezeték,nirkabel,dây,kablosuz,0.473210435035377,0.466139418056867,0.467499763993587,0.464290579440742,0.47016803066503,0.468123396756748,3.6,,
6432,ceremonial,الاحتفالية,ünnepi,upacara,nghi_lễ,törensel,0.485441059582751,0.503863537815704,0.504325077604882,0.50308295603117,0.508577399137673,0.505451941961982,,,
6435,consumed,تستهلك,felemésztette,dikonsumsi,nuốt_chửng,tüketti,0.611484395804157,0.616764525550795,0.613366134449476,0.611386768858222,0.612234667043828,0.613467314353872,,,
6439,scenic,الخلابة,festői,indah,cảnh,Manzarası,0.432849653897248,0.439011279176913,0.441806640269572,0.438235803866673,0.44373678149757,0.439618541477929,3.27272727272727,,
6445,careful,حريصاً,Óvatosnak,berhati-hati,cẩn_thận,olmazsan,0.635477660385849,0.651725362924163,0.653841620583412,0.610129910304463,0.637265401701536,0.636692428813071,3.4,,
6452,afraid,يخشى,félünk,takut,sợ,Korkuyor,0.613639207827802,0.638202298749703,0.637945653028771,0.627052948214355,0.632932880407416,0.640323078007269,3.6,1.333333333,
6471,emerge,السلاحف,felszínre,muncul,xuất_hiện,geçerler,0.588301656137867,0.588200565376643,0.584258923732142,0.591359609772567,0.587180961409759,0.574726642771046,5.9,1.25,
6473,toy,لعبتك,játékszer,mainan,đồ_chơi,oyuncak,0.591583853347849,0.545718139780263,0.567406919096086,0.595874516252287,0.568644830869005,0.591020766274643,3.2,0.909090909,
6479,conception,الحمل,fogantatás,konsepsi,thụ_thai,gebe,0.493964370755923,0.519973633795512,0.516801455271766,0.484802078686943,0.497375803658697,0.517461805617898,,,
6483,drunk,ثمل,részeg,mabuk,say,sarhoş,0.636705057008631,0.627299306011235,0.644218502850729,0.640127586480473,0.630432264311781,0.638128555048167,4.6,,
6490,conservatory,معهد,konzervatóriumban,musik,nhạc_viện,Konservatuarda,0.406996479209909,0.405958830524778,0.398123569909064,0.379228432272573,0.417317801530095,0.408661006636976,,,
6509,pound,رطل,menhelyre,pon,pao,kilosu,0.532806354447325,0.483952239820841,0.524214117469812,0.528444303925016,0.496473338248759,0.509493220676445,,0.25,
6511,recognizes,يتعرف,felismeri,mengakui,nhận,tanırsa,0.479148346650897,0.54330971627876,0.531564355663661,0.505442201137364,0.523016781783318,0.543765126273304,,,
6521,happiness,السعادة,boldogság,kebahagiaan,hạnh_phúc,mutluluğu,0.580708405079215,0.576316258028555,0.576493752271498,0.569669486471279,0.58251745413609,0.574034187155867,,,
6523,discusses,يناقش,tárgyalja,membahas,bàn,tartışıyor,0.532607826287676,0.56817292850585,0.567337735407151,0.562848236350348,0.562431273399019,0.572191039709783,,,
6524,linguistic,لغويا,nyelvi,linguistik,ngôn_ngữ,dilsel,0.42491296289307,0.447580728215833,0.477906833868713,0.422493414539456,0.453451896908755,0.465627776350362,,,
6525,preparations,التحضيرات,előkészületeket,persiapan,chuẩn_bị,hazırlıklar,0.523576055502522,0.554720358982724,0.552068376134568,0.550610211503188,0.546064347060171,0.548922171834553,,,
6536,enzyme,الانزيم,enzim,enzim,enzym,enzim,0.403219431903567,0.404312252303155,0.403214452885586,0.398281295692302,0.402123312742868,0.398540060210518,2.8,,
6542,chronic,مزمن,krónikus,kronis,mãn_tính,kronik,0.554542895059729,0.56067488465429,0.55760621910354,0.539009241071433,0.553218925446238,0.55458729900771,,,
6546,troop,تحركات,csapatszállító,pasukan,quân,izci,0.474272472294538,0.474462680166679,0.481399458993435,0.477587027852825,0.482717311087279,0.470567365764999,3.9,,
6548,everybody,بالجميع,mindenkivel,Semuanya,Mọi,Herkesi,0.668329112305445,0.570296591489052,0.600770737862518,0.619889371082099,0.596896009473394,0.601517170338703,,,
6554,prone,عرضة,hajlamos,rentan,sấp,eğilimli,0.520578900258087,0.560784985111327,0.553044432513726,0.528507839942076,0.560484919211955,0.547413531112613,3.4,,
6555,engineered,جينياً,Genetikailag,rekayasa,gen,Genetik,0.491479351926762,0.483122341578592,0.486574291375583,0.477211933944553,0.486338205963391,0.490849388853907,,,
6557,swan,بجعة,hattyú,angsa,thiên_nga,kuğu,0.516325108273389,0.521687674218652,0.519328926092786,0.519493594347821,0.52319285427371,0.52234193795933,2.9,-0.75,
6558,duck,بطة,kacsa,bebek,vịt,ördek,0.559516959877896,0.55625452669382,0.537927990389286,0.576432956141214,0.538556612887747,0.552420098416158,4.7,0.3,
6561,examine,لفحص,megvizsgálni,memeriksa,kiểm_tra,muayene,0.597157808083704,0.64573571093835,0.638279958295173,0.543252516071689,0.62225329270711,0.625567305981357,,,
6562,lo,آيو,que,que,Io,Lo,0.506324179141753,0.457366576080007,0.45956399628473,0.470602877701995,0.47879134753554,0.458874538136624,,,
6568,pending,معلقة,függőben,tertunda,chờ,beklemede,0.404216532162922,0.524636731290734,0.512427596656121,0.451184176855011,0.520843741131577,0.515714842466977,,,
6573,hon,هون,szivem,Sayang,cưng,balım,0.379374473459019,0.380736785603895,0.380145255080565,0.388992310254055,0.378747421823833,0.383529455611834,,,
6574,recovering,يتعافى,lábadozik,pulih,hồi_phục,iyileşiyor,0.603622369643639,0.61753005793122,0.606099248055885,0.608058966156676,0.608538961796046,0.609774306870792,,,
6575,marvel,أعجوبة,csoda,keajaiban,kỳ_diệu,mucizesi,0.471723972267575,0.468983035528908,0.44573153684651,0.472898688953394,0.45160387207609,0.461615094409806,4.3,,
6583,slide,الشريحة,csúsztasd,geser,trượt,slayt,0.607560573307444,0.571561483304508,0.591785882614936,0.598731121951277,0.592059335148523,0.595259583766937,4.72727272727273,1.416666667,
6586,decorations,الزينة,dekoráció,dekorasi,trang_trí,dekorasyon,0.463365161048881,0.460297982956386,0.466693704557682,0.466795023429141,0.466406282016706,0.456992326053131,,,
6587,lonely,بالوحدة,magányos,kesepian,cô_đơn,yalnızlık,0.589440534745822,0.560928245398496,0.543233827245213,0.581343637064333,0.540204529142723,0.575171444814269,5.09090909090909,,
6590,fabric,النسيج,szövet,kain,vải,kumaş,0.545768380575026,0.536179885393633,0.543577487720129,0.536741743904814,0.538941464965356,0.536180386189856,,-0.3,
6595,unemployment,البطالة,munkanélküliség,pengangguran,thất_nghiệp,işsizlik,0.429136313776211,0.425929179177294,0.435016069200088,0.430190803995773,0.432796236034325,0.424582993637528,4.6,,
6597,swift,سريعة,gyors,cepat,nhanh_chóng,süratli,0.566213090990555,0.568790957336855,0.565604065116118,0.563562381617843,0.559042314033165,0.55890448038336,5.3,3.230769231,
6603,button,زر,gomb,tombol,nút,düğme,0.550371101125907,0.542921902071665,0.53265041350013,0.559974627106712,0.526196332977072,0.526786619047411,4.4,0.5,
6604,regain,يستعيد,visszanyeri,memulihkan,hồi_phục,kazanabilir,0.49423776316564,0.531450188773324,0.524592057985034,0.524267760386232,0.519637244807323,0.519211305813847,3.6,,
6609,heating,التدفئة,fűtés,pemanas,nóng,ısıtma,0.5050472505523,0.513700363820199,0.521214479953755,0.515941120739278,0.520012224858381,0.512121860351755,,,
6613,hang,نتسكع,lógunk,menggantung,treo_cổ,takılalım,0.563742598308121,0.54690795210887,0.522976495982492,0.560416770833365,0.538230789815141,0.555166506268727,5.16666666666667,0,
6615,dirt,التراب,kosz,kotoran,đất,kir,0.555450180339706,0.567670010561394,0.538098079448442,0.53615789265995,0.564540450304364,0.55904560270325,4.8,1,
6631,vale,فال,Vale,anggur,Vale,vadi,0.423111369358242,0.416761155116519,0.403177240896591,0.420983229789739,0.402505171705077,0.411635381513587,,,
6639,limiting,يحد,korlátozzuk,membatasi,giới_hạn,sınırlayıcı,0.61874267911706,0.654436844154614,0.646717833844046,0.568774306113793,0.64680704593797,0.636274898293755,4.08333333333333,,
6645,collision,تصادم,ütközés,tabrakan,va_chạm,çarpışma,0.519662218747485,0.52811753066807,0.522585912976209,0.526623900569597,0.525298418111756,0.527150445498309,4.6,,
6652,providence,العناية,gondviselés,takdir,Thượng_Đế,takdiri,0.436080990651943,0.416738294777756,0.436809607999259,0.435416301086497,0.438686509694333,0.434537092748006,,,
6665,countess,الكونتيسة,grófnő,Countess,Nữ,Kontes,0.431803410023749,0.398827867078711,0.387516760431913,0.384449944155658,0.391931801350912,0.39178677599612,3.7,,
6668,triggered,أثارت,váltotta,memicu,kích_hoạt,tetikledi,0.549589717100157,0.554427222419635,0.537628357087398,0.539915552317611,0.549768683588738,0.551561495202167,,,
6672,dairy,الألبان,tejüzem,susu,sữa,ürünleri,0.478366592207598,0.467430150082125,0.477220078667417,0.4520097044081,0.473665244579825,0.482199279553629,2.90909090909091,,
6674,supervisor,المشرف,felettese,pengawas,giám_sát,amiri,0.465970557975399,0.473710851295951,0.476951777959238,0.471084232185983,0.474969885380295,0.474021198193031,,,
